# y+ ()         
# Time          	patch           	min             	max             	average         
0               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0               	bottom	8.38525492e-03	8.38525492e-03	8.38525492e-03
1               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
1               	bottom	2.38583746e-02	2.38584171e-02	2.38584028e-02
2               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
2               	bottom	1.08514370e-02	1.08514643e-02	1.08514550e-02
3               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
3               	bottom	4.95840292e-03	4.95842551e-03	4.95841187e-03
4               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
4               	bottom	2.28210250e-03	2.28216230e-03	2.28211096e-03
5               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
5               	bottom	1.06307262e-03	1.06322133e-03	1.06308091e-03
6               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
6               	bottom	5.06546514e-04	5.06874794e-04	5.06555510e-04
7               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
7               	bottom	2.52459463e-04	2.53131788e-04	2.52470128e-04
8               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
8               	bottom	1.37067070e-04	1.38314952e-04	1.37080313e-04
9               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
9               	bottom	8.49404577e-05	8.69519148e-05	8.49564791e-05
10              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
10              	bottom	6.07489830e-05	6.35414162e-05	6.07671156e-05
11              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
11              	bottom	4.83624279e-05	5.18351843e-05	4.83818641e-05
12              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
12              	bottom	4.10388615e-05	4.50864756e-05	4.10591282e-05
13              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
13              	bottom	3.61259062e-05	4.06714489e-05	3.61467958e-05
14              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
