# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
100                 	top	1.721268320381e+00	3.839751076634e+00	1.875475897363e+00
200                 	top	1.718643260622e+00	4.122020208653e+00	1.841015527083e+00
300                 	top	1.740087377156e+00	2.471593217394e+00	1.850552227566e+00
400                 	top	1.801766549471e+00	4.202627216720e+01	7.784183766205e+00
500                 	top	1.801597865317e+00	4.610289440774e+00	2.837090996124e+00
600                 	top	1.791832885655e+00	2.415247957424e+00	1.974539130054e+00
700                 	top	1.709266009274e+00	2.498566865828e+00	1.789817362651e+00
800                 	top	1.053001056132e+00	2.879330631537e+02	6.977611140529e+00
900                 	top	1.564268354687e+00	6.383265267131e+01	1.076986856904e+01
1000                	top	1.691262492674e+00	5.774929849088e+00	2.920946163296e+00
