# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50000000e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.50000000e+02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.00000000e-07	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	4.71170304e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	8.01289980e-05	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.88425460e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	4.74351700e-12	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
2               	3.40322826e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	5.22972064e-05	(1.15694005e+00 9.84980311e-01 5.00000000e-01)	208817	1.58785187e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	9.81280701e-13	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
3               	2.33266199e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	3.80966544e-05	(1.12472120e+00 9.84980311e-01 5.00000000e-01)	208814	1.06220045e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.04881329e-13	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
4               	1.87460695e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.11103826e-05	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543	7.89634030e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	4.33999319e-14	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
5               	1.63032771e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.41092989e-06	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	6.25494615e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	9.41769489e-15	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
6               	-1.80105481e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	5.47390658e-07	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	5.16621254e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.13824476e-15	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
7               	-3.64958418e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	1.35969665e-07	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	4.39426977e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	5.31131504e-16	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
8               	-5.45169184e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	4.00797476e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	3.81974829e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.56561514e-16	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
9               	-7.19700900e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	1.53917469e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	3.37615800e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	6.01240113e-17	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
10              	-8.88665959e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	7.87293639e-09	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	3.02367265e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	3.07536578e-17	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
11              	-1.05194713e-04	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	4.98970546e-09	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.73704251e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.94910370e-17	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
12              	-1.21062535e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	3.59293473e-09	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.49951273e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.40349013e-17	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
13              	-1.36383961e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.78417300e-09	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.29954270e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.08756758e-17	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
14              	-1.51266357e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.25853341e-09	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.12893295e+01	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	8.82239615e-18	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
